Symbol,Company,Sector,Headquarters
PRU,Prudential Financial,Financials,"Newark, New Jersey"
PEG,Public Service Enterprise Group,Utilities,"Newark, New Jersey"
PTC,PTC Inc.,Information Technology,"Boston, Massachusetts"
PSA,Public Storage,Real Estate,"Glendale, California"
PHM,PulteGroup,Consumer Discretionary,"Atlanta, Georgia"
PWR,Quanta Services,Industrials,"Houston, Texas"
QCOM,Qualcomm,Information Technology,"San Diego, California"
DGX,Quest Diagnostics,Health Care,"Secaucus, New Jersey"
Q,Qnity Electronics,Information Technology,"Wilmington, Delaware"
RL,Ralph Lauren Corporation,Consumer Discretionary,"New York City, New York"
RJF,Raymond James Financial,Financials,"St. Petersburg, Florida"
RTX,RTX Corporation,Industrials,"Waltham, Massachusetts"
O,Realty Income,Real Estate,"San Diego, California"
REG,Regency Centers,Real Estate,"Jacksonville, Florida"
REGN,Regeneron Pharmaceuticals,Health Care,"Tarrytown, New York"
RF,Regions Financial Corporation,Financials,"Birmingham, Alabama"
RSG,Republic Services,Industrials,"Phoenix, Arizona"
RMD,ResMed,Health Care,"San Diego, California"
RVTY,Revvity,Health Care,"Waltham, Massachusetts"
HOOD,Robinhood Markets,Financials,"Menlo Park, California"
ROK,Rockwell Automation,Industrials,"Milwaukee, Wisconsin"
ROL,"Rollins, Inc.",Industrials,"Atlanta, Georgia"
ROP,Roper Technologies,Information Technology,"Sarasota, Florida"
ROST,Ross Stores,Consumer Discretionary,"Dublin, California"
RCL,Royal Caribbean Group,Consumer Discretionary,"Miami, Florida"
SPGI,S&P Global,Financials,"New York City, New York"
CRM,Salesforce,Information Technology,"San Francisco, California"
SNDK,Sandisk,Information Technology,"Milpitas, California"
SBAC,SBA Communications,Real Estate,"Boca Raton, Florida"
SLB,Schlumberger,Energy,"Houston, Texas"
STX,Seagate Technology,Information Technology,"Dublin, Ireland"
SRE,Sempra,Utilities,"San Diego, California"
NOW,ServiceNow,Information Technology,"Santa Clara, California"
SHW,Sherwin-Williams,Materials,"Cleveland, Ohio"
SPG,Simon Property Group,Real Estate,"Indianapolis, Indiana"
SWKS,Skyworks Solutions,Information Technology,"Irvine, California"
SJM,J.M. Smucker Company (The),Consumer Staples,"Orrville, Ohio"
SW,Smurfit Westrock,Materials,"Dublin, Ireland"
SNA,Snap-on,Industrials,"Kenosha, Wisconsin"
SOLV,Solventum,Health Care,"Saint Paul, Minnesota"
SO,Southern Company,Utilities,"Atlanta, Georgia"
LUV,Southwest Airlines,Industrials,"Dallas, Texas"
SWK,Stanley Black & Decker,Industrials,"New Britain, Connecticut"
SBUX,Starbucks,Consumer Discretionary,"Seattle, Washington"
STT,State Street Corporation,Financials,"Boston, Massachusetts"
STLD,Steel Dynamics,Materials,"Fort Wayne, Indiana"
STE,Steris,Health Care,"Dublin, Ireland"
SYK,Stryker Corporation,Health Care,"Kalamazoo, Michigan"
SMCI,Supermicro,Information Technology,"San Jose, California"
SYF,Synchrony Financial,Financials,"Stamford, Connecticut"
SNPS,Synopsys,Information Technology,"Sunnyvale, California"
SYY,Sysco,Consumer Staples,"Houston, Texas"
TMUS,T-Mobile US,Communication Services,"Bellevue, Washington"
TROW,T. Rowe Price,Financials,"Baltimore, Maryland"
TTWO,Take-Two Interactive,Communication Services,"New York City, New York"
TPR,"Tapestry, Inc.",Consumer Discretionary,"New York City, New York"
TRGP,Targa Resources,Energy,"Houston, Texas"
TGT,Target Corporation,Consumer Staples,"Minneapolis, Minnesota"
TEL,TE Connectivity,Information Technology,"Galway, Ireland"
TDY,Teledyne Technologies,Information Technology,"Thousand Oaks, California"
TER,Teradyne,Information Technology,"North Reading, Massachusetts"
TSLA,"Tesla, Inc.",Consumer Discretionary,"Austin, Texas"
TXN,Texas Instruments,Information Technology,"Dallas, Texas"
TPL,Texas Pacific Land Corporation,Energy,"Dallas, Texas"
TXT,Textron,Industrials,"Providence, Rhode Island"
TMO,Thermo Fisher Scientific,Health Care,"Waltham, Massachusetts"
TJX,TJX Companies,Consumer Discretionary,"Framingham, Massachusetts"
TKO,TKO Group Holdings,Communication Services,"New York City, New York"
TTD,Trade Desk (The),Communication Services,"Ventura, California"
TSCO,Tractor Supply,Consumer Discretionary,"Brentwood, Tennessee"
TT,Trane Technologies,Industrials,"Dublin, Ireland"
TDG,TransDigm Group,Industrials,"Cleveland, Ohio"
TRV,Travelers Companies (The),Financials,"New York City, New York"
TRMB,Trimble Inc.,Information Technology,"Westminster, Colorado"
TFC,Truist Financial,Financials,"Charlotte, North Carolina"
TYL,Tyler Technologies,Information Technology,"Plano, Texas"
TSN,Tyson Foods,Consumer Staples,"Springdale, Arkansas"
USB,U.S. Bancorp,Financials,"Minneapolis, Minnesota"
UBER,Uber,Industrials,"San Francisco, California"
UDR,"UDR, Inc.",Real Estate,"Highlands Ranch, Colorado"
ULTA,Ulta Beauty,Consumer Discretionary,"Bolingbrook, Illinois"
UNP,Union Pacific Corporation,Industrials,"Omaha, Nebraska"
UAL,United Airlines Holdings,Industrials,"Chicago, Illinois"
UPS,United Parcel Service,Industrials,"Sandy Springs, Georgia"
URI,United Rentals,Industrials,"Stamford, Connecticut"
UNH,UnitedHealth Group,Health Care,"Eden Prairie, Minnesota"
UHS,Universal Health Services,Health Care,"King of Prussia, Pennsylvania"
VLO,Valero Energy,Energy,"San Antonio, Texas"
VEEV,Veeva Systems,Health Care,"Pleasanton, California"
